F1 cross,Female no.,No. of embryos,A,AB,B,WT,filename,Additional info,Observations (No. embryos not counted),cleavage,group_letter,cas9_parent,gRNA_type,target_locus,multiplex,pre_cut,mosaic,id,win,loss,pre_cut_original,gRNA_type_original
D251KO x [(1590:D251KO)x1759],4,NA,4,1,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,some larvae died,NA,5,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,298,5,0,D251,1759
D251KO x [(1590:D251KO)x1759],5,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,"Eggs, no larvae",NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,299,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],6,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,300,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],7,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,301,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],8,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,302,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],9,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,"Eggs, no larvae",NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,303,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],11,NA,35,32,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,67,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,304,67,0,D251,1759
D251KO x [(1590:D251KO)x1759],12,NA,50,31,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,81,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,305,81,0,D251,1759
D251KO x [(1590:D251KO)x1759],13,NA,33,46,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,79,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,306,79,0,D251,1759
D251KO x [(1590:D251KO)x1759],14,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,307,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],15,NA,9,7,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,16,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,308,16,0,D251,1759
D251KO x [(1590:D251KO)x1759],16,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,309,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],17,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,310,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],18,NA,20,22,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,42,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,311,42,0,D251,1759
D251KO x [(1590:D251KO)x1759],19,NA,51,68,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,119,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,312,119,0,D251,1759
D251KO x [(1590:D251KO)x1759],20,NA,23,26,6,6,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,61,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,313,49,12,D251,1759
D251KO x [(1590:D251KO)x1759],21,NA,38,34,20,20,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,112,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,314,72,40,D251,1759
D251KO x [(1590:D251KO)x1759],22,NA,5,0,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,5,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,315,5,0,D251,1759
D251KO x [(1590:D251KO)x1759],23,NA,38,30,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,68,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,316,68,0,D251,1759
D251KO x [(1590:D251KO)x1759],24,NA,16,3,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,19,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,317,19,0,D251,1759
D251KO x [(1590:D251KO)x1759],25,NA,3,3,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,some larvae died,NA,6,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,318,6,0,D251,1759
D251KO x [(1590:D251KO)x1759],26,NA,16,11,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,27,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,319,27,0,D251,1759
D251KO x [(1590:D251KO)x1759],27,NA,20,32,7,7,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,66,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,320,52,14,D251,1759
D251KO x [(1590:D251KO)x1759],28,NA,34,33,4,4,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,75,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,321,67,8,D251,1759
D251KO x [(1590:D251KO)x1759],29,NA,13,16,1,1,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,31,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,322,29,2,D251,1759
D251KO x [(1590:D251KO)x1759],30,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,"Eggs, no larvae",NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,323,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],31,NA,1,1,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,some larvae died,NA,2,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,324,2,0,D251,1759
D251KO x [(1590:D251KO)x1759],32,NA,19,6,1,1,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,27,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,325,25,2,D251,1759
D251KO x [(1590:D251KO)x1759],33,NA,10,9,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,19,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,326,19,0,D251,1759
D251KO x [(1590:D251KO)x1759],34,NA,10,28,6,6,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,50,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,327,38,12,D251,1759
D251KO x [(1590:D251KO)x1759],35,NA,7,6,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,13,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,328,13,0,D251,1759
D251KO x [(1590:D251KO)x1759],36,NA,25,18,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,some larvae died,NA,43,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,329,43,0,D251,1759
D251KO x [(1590:D251KO)x1759],37,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,"Eggs, no larvae",NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,330,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],38,NA,21,21,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,42,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,331,42,0,D251,1759
D251KO x [(1590:D251KO)x1759],39,NA,7,6,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,13,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,332,13,0,D251,1759
D251KO x [(1590:D251KO)x1759],40,NA,34,65,1,1,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,101,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,333,99,2,D251,1759
D251KO x [(1590:D251KO)x1759],41,NA,42,39,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,81,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,334,81,0,D251,1759
D251KO x [(1590:D251KO)x1759],42,NA,22,14,10,10,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,56,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,335,36,20,D251,1759
D251KO x [(1590:D251KO)x1759],43,NA,44,48,0,0,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,92,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,336,92,0,D251,1759
D251KO x [(1590:D251KO)x1759],44,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,"Eggs, no larvae",NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,337,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],45,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,"Eggs, no larvae",NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,338,NA,NA,D251,1759
D251KO x [(1590:D251KO)x1759],46,NA,32,29,3,3,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,NA,NA,67,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,339,61,6,D251,1759
D251KO x [(1590:D251KO)x1759],47,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xD251 - CLEAN.xlsx,No eggs,NA,NA,i,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>225</i></sup>,mixed,340,NA,NA,D251,1759
QA383P X [(1590:QA383P)X1759],1,NA,13,13,15,15,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,56,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,373,26,30,QA383P,1759
QA383P X [(1590:QA383P)X1759],2,NA,7,10,4,12,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,33,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,374,17,16,QA383P,1759
QA383P X [(1590:QA383P)X1759],3,NA,21,25,23,19,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,88,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,375,46,42,QA383P,1759
QA383P X [(1590:QA383P)X1759],4,NA,10,8,11,13,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,42,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,376,18,24,QA383P,1759
QA383P X [(1590:QA383P)X1759],5,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,377,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],6,NA,18,10,13,9,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,50,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,378,28,22,QA383P,1759
QA383P X [(1590:QA383P)X1759],7,NA,13,8,8,22,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,51,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,379,21,30,QA383P,1759
QA383P X [(1590:QA383P)X1759],8,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,380,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],9,NA,30,28,28,25,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,111,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,381,58,53,QA383P,1759
QA383P X [(1590:QA383P)X1759],10,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,382,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],11,NA,15,6,16,8,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,45,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,383,21,24,QA383P,1759
QA383P X [(1590:QA383P)X1759],12,NA,18,16,13,19,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,66,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,384,34,32,QA383P,1759
QA383P X [(1590:QA383P)X1759],13,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,385,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],14,NA,28,29,17,21,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,95,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,386,57,38,QA383P,1759
QA383P X [(1590:QA383P)X1759],15,NA,16,18,14,21,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,69,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,387,34,35,QA383P,1759
QA383P X [(1590:QA383P)X1759],16,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,388,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],17,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,389,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],18,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,390,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],19,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,391,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],20,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,392,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],21,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,393,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],22,NA,21,23,27,22,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,93,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,394,44,49,QA383P,1759
QA383P X [(1590:QA383P)X1759],23,NA,3,9,7,6,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,25,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,395,12,13,QA383P,1759
QA383P X [(1590:QA383P)X1759],24,NA,25,24,20,25,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,94,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,396,49,45,QA383P,1759
QA383P X [(1590:QA383P)X1759],25,NA,29,18,21,19,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,87,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,397,47,40,QA383P,1759
QA383P X [(1590:QA383P)X1759],26,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,398,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],27,NA,29,33,25,24,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,111,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,399,62,49,QA383P,1759
QA383P X [(1590:QA383P)X1759],28,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,400,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],29,NA,13,11,9,8,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,41,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,401,24,17,QA383P,1759
QA383P X [(1590:QA383P)X1759],30,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,402,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],31,NA,42,22,18,19,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,101,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,403,64,37,QA383P,1759
QA383P X [(1590:QA383P)X1759],32,NA,17,16,5,9,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,47,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,404,33,14,QA383P,1759
QA383P X [(1590:QA383P)X1759],33,NA,10,10,13,8,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,41,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,405,20,21,QA383P,1759
QA383P X [(1590:QA383P)X1759],34,NA,29,35,26,20,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,110,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,406,64,46,QA383P,1759
QA383P X [(1590:QA383P)X1759],35,NA,14,24,18,14,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,70,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,407,38,32,QA383P,1759
QA383P X [(1590:QA383P)X1759],36,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,408,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],37,NA,26,14,23,29,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,92,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,409,40,52,QA383P,1759
QA383P X [(1590:QA383P)X1759],38,NA,22,27,20,26,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,95,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,410,49,46,QA383P,1759
QA383P X [(1590:QA383P)X1759],39,NA,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,411,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],40,NA,10,20,19,13,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,62,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,412,30,32,QA383P,1759
QA383P X [(1590:QA383P)X1759],41,NA,31,26,37,33,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,127,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,413,57,70,QA383P,1759
QA383P X [(1590:QA383P)X1759],42,NA,25,19,27,21,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,92,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,414,44,48,QA383P,1759
QA383P X [(1590:QA383P)X1759],43,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,415,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],44,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,416,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],46,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,417,NA,NA,QA383P,1759
QA383P X [(1590:QA383P)X1759],49,NA,8,5,10,10,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,33,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,418,13,20,QA383P,1759
QA383P X [(1590:QA383P)X1759],50,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590xQA383P - CLEAN.xlsx,NA,NA,NA,k,Male,cd<sup><i>g384</i></sup>,locus A,no,cd<sup><i>384</i></sup>,mixed,419,NA,NA,QA383P,1759
Cd KO x (2072:1590),1,103,55,55,3,6,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,112,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,420,110,9,wild-type,2072
Cd KO x (2072:1590),2,81,47,56,3,1,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,105,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,421,103,4,wild-type,2072
Cd KO x (2072:1590),3,50,NA,NA,NA,NA,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,NA,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,422,NA,NA,wild-type,2072
Cd KO x (2072:1590),4,0,NA,NA,NA,NA,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,NA,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,423,NA,NA,wild-type,2072
Cd KO x (2072:1590),5,80,53,49,0,0,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,102,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,424,102,0,wild-type,2072
Cd KO x (2072:1590),6,0,NA,NA,NA,NA,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,NA,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,425,NA,NA,wild-type,2072
Cd KO x (2072:1590),7,88,33,33,0,0,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,66,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,426,66,0,wild-type,2072
Cd KO x (2072:1590),8,69,60,40,0,2,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,101,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,427,100,2,wild-type,2072
Cd KO x (2072:1590),9,97,11,5,1,1,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,16,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,428,16,2,wild-type,2072
Cd KO x (2072:1590),10,0,NA,NA,NA,NA,./data//Crossing data summary A_2072 B_1590 - CLEAN.xlsx,NA,NA,NA,l,Male,cd<sup><i>g384_del</i></sup>,locus A,no,wild-type,mixed,429,NA,NA,wild-type,2072
